,source,deflt_Country_code,name,country_code
188,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,IN,asia,CN
189,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,AT,europe,PL
190,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,AO,africa,CF
191,9_year_old_girl_reported_to_be_latest_US_swine_flu_death,US,united states,US
192,9_year_old_girl_reported_to_be_latest_US_swine_flu_death,US,buffalo,US
193,9_year_old_girl_reported_to_be_latest_US_swine_flu_death,US,new york,US
194,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,MX,mexico,MX
195,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,MX,mexico city,MX
196,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,US,united states,US
197,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,NZ,new zealand,NZ
198,"Four_people_die_after_contracting_H1N1_swine_flu_virus_in_West_Midlands,_England",GB,england,GB
199,"Four_people_die_after_contracting_H1N1_swine_flu_virus_in_West_Midlands,_England",GB,west midlands,GB
200,Gaza_Strip_reports_first_swine_flu_cases,PS,gaza strip,PS
201,Gaza_Strip_reports_first_swine_flu_cases,IL,israel,IL
202,Gaza_Strip_reports_first_swine_flu_cases,PS,gaza,PS
203,Gaza_Strip_reports_first_swine_flu_cases,EG,egypt,EG
204,Gaza_Strip_reports_first_swine_flu_cases,PS,west bank,PS
205,Kenya_confirms_first_swine_flu_case,KE,kenya,KE
206,Kenya_confirms_first_swine_flu_case,AO,africa,CF
207,Kenya_confirms_first_swine_flu_case,KE,nyanza,KE
208,Kenya_confirms_first_swine_flu_case,KE,kisumu,KE
209,Kenya_confirms_first_swine_flu_case,IN,india,IN
210,Kenya_confirms_first_swine_flu_case,KE,nairobi,KE
211,Kenya_confirms_first_swine_flu_case,GB,britain,GB
212,Kenya_confirms_first_swine_flu_case,GB,london,GB
213,Kenya_confirms_first_swine_flu_case,US,us,US
214,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,US,united states,US
215,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,NO,norway,NO
216,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,PR,north carolina,US
217,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,MX,mexico,MX
218,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,CN,china,CN
219,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,JP,japan,JP
220,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,UA,ukraine,UA
221,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,BR,brazil,BR
222,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,SA,mecca,SA
223,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,IN,india,IN
224,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,SD,sudan,SD
225,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,MA,morocco,MA
226,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,NG,nigeria,NG
227,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,SA,medina,SA
228,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,EG,egypt,EG
229,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,EG,cairo,EG
230,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,AO,africa,CF
231,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,OM,middle east,SA
232,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,SA,saudi arabia,SA
233,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,IR,iran,IR
234,"School_closed_after_five-year-old_boy_dies_from_suspected_swine_flu_in_Buckinghamshire,_England",GB,buckinghamshire,GB
235,"School_closed_after_five-year-old_boy_dies_from_suspected_swine_flu_in_Buckinghamshire,_England",GB,england,GB
236,"School_closed_after_five-year-old_boy_dies_from_suspected_swine_flu_in_Buckinghamshire,_England",GB,milton keynes,GB
237,Six_H1N1_cases_appear_in_the_Philippines,PH,philippines,PH
238,Six_H1N1_cases_appear_in_the_Philippines,US,united states,US
239,State_of_emergency_declared_in_New_York_over_H1N1_swine_flu_virus,US,us,US
240,State_of_emergency_declared_in_New_York_over_H1N1_swine_flu_virus,US,new york,US
241,Swine_flu_cases_in_Fiji_reach_97,FJ,fiji,FJ
242,Swine_flu_cases_in_Fiji_reach_97,FJ,suva,FJ
243,Swine_flu_cases_in_Fiji_reach_97,FJ,nadi,FJ
244,Swine_flu_claims_first_UK_victim,GB,uk,GB
245,Swine_flu_claims_first_UK_victim,GB,glasgow,GB
246,Swine_flu_claims_first_UK_victim,GB,scotland,GB
247,Swine_flu_claims_first_UK_victim,JM,paisley,GB
248,Swine_flu_deaths_reported_in_Argentina,AR,argentina,AR
249,Swine_flu_deaths_reported_in_Argentina,AR,buenos aires,AR
250,Swine_flu_deaths_reported_in_Argentina,CL,chile,CL
251,Swine_flu_deaths_reported_in_Argentina,PE,south america,BR
252,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,KE,kisumu,KE
253,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,KE,nairobi,KE
254,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,GB,united kingdom,GB
255,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,MZ,east africa,KE
256,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,GB,nottingham,GB
257,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,KE,kenya,KE
258,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,KE,garissa,KE
259,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,GB,uk,GB
260,WHO:_Polio_reemerging_in_Africa,AO,africa,CF
261,WHO:_Polio_reemerging_in_Africa,ZW,zimbabwe,ZW
262,WHO:_Polio_reemerging_in_Africa,AO,angola,AO
263,WHO:_Polio_reemerging_in_Africa,TD,chad,TD
264,"Eritrea_plans_to_vaccinate_500,000_children",ER,eritrea,ER
265,"Eritrea_plans_to_vaccinate_500,000_children",ET,ethiopia,ET
266,"Eritrea_plans_to_vaccinate_500,000_children",SD,sudan,SD
267,"Eritrea_plans_to_vaccinate_500,000_children",AO,africa,CF
268,UN_says_polio_eradicated_in_Egypt_and_Niger,EG,egypt,EG
269,UN_says_polio_eradicated_in_Egypt_and_Niger,NE,niger,NE
270,UN_says_polio_eradicated_in_Egypt_and_Niger,US,united states,US
271,UN_says_polio_eradicated_in_Egypt_and_Niger,NG,nigeria,NG
272,Effort_on_to_eradicate_Polio_from_Asia_in_2005,IN,asia,CN
273,Effort_on_to_eradicate_Polio_from_Asia_in_2005,AF,afghanistan,AF
274,Effort_on_to_eradicate_Polio_from_Asia_in_2005,IN,india,IN
275,Effort_on_to_eradicate_Polio_from_Asia_in_2005,PK,pakistan,PK
276,Blood_recipients_contract_HIV_in_Peru,PE,peru,PE
277,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,ZA,south africa,ZA
278,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,ZA,kwazulu-natal,ZA
279,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,ZA,johannesburg,ZA
280,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,MZ,mozambique,MZ
281,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,BW,botswana,BW
282,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,US,united states,US
283,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,US,dallas,US
284,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,US,texas,US
285,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,US,dallas county,US
286,Libya_frees_foreign_HIV_medics,LY,libya,LY
287,Libya_frees_foreign_HIV_medics,BG,sofia,BG
288,Libya_frees_foreign_HIV_medics,BG,bulgaria,BG
289,Libya_frees_foreign_HIV_medics,LY,benghazi,LY
290,Libya_frees_foreign_HIV_medics,QA,qatar,QA
291,Libya_frees_foreign_HIV_medics,FR,france,FR
292,Libya_frees_foreign_HIV_medics,LY,tripoli,LY
293,Libya_frees_foreign_HIV_medics,AT,europe,PL
294,Libya_frees_foreign_HIV_medics,FR,paris,FR
295,New_human_HIV_strain_discovered_in_France,FR,paris,FR
296,New_human_HIV_strain_discovered_in_France,FR,france,FR
297,New_human_HIV_strain_discovered_in_France,CM,cameroon,CM
298,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",GR,athens,GR
299,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",GR,greece,GR
300,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",US,hollywood,US
301,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",CA,toronto,CA
302,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",CA,canada,CA
303,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",AT,europe,PL
304,8th_case_of_mad_cow_disease_found_in_Canada,CA,alberta,CA
305,8th_case_of_mad_cow_disease_found_in_Canada,US,united states,US
306,8th_case_of_mad_cow_disease_found_in_Canada,CA,canada,CA
307,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,US,ames,US
308,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,US,iowa,US
309,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,GB,united kingdom,GB
310,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,GB,uk,GB
311,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,CA,canada,CA
312,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,US,washington,US
313,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,SE,sweden,SE
314,Canada_confirms_fifth_case_of_Mad_Cow_Disease,CA,canada,CA
315,Canada_confirms_fifth_case_of_Mad_Cow_Disease,CA,british columbia,CA
316,Canada_confirms_fifth_case_of_Mad_Cow_Disease,CA,fraser valley,CA
317,Canada_confirms_fifth_case_of_Mad_Cow_Disease,CA,vancouver,CA
318,Canada_confirms_fifth_case_of_Mad_Cow_Disease,US,united states,US
319,Canada_confirms_fifth_case_of_Mad_Cow_Disease,CA,alberta,CA
320,Canada_confirms_fifth_case_of_Mad_Cow_Disease,GB,united kingdom,GB
321,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,GB,britain,GB
322,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,US,little rock,US
323,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,US,arkansas,US
324,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,US,us,US
325,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,ES,spain,ES
326,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,IT,italy,IT
327,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,IL,israel,IL
328,Mad_Cow_disease_confirmed_in_U.S.,US,alabama,US
329,Mad_Cow_disease_confirmed_in_U.S.,US,ames,US
330,Mad_Cow_disease_confirmed_in_U.S.,US,iowa,US
