Output_sne,lat,lng,Country_Code,Type,Population,Desamb_Phase,input_sne,source
Canada,60.10867,-113.64258,CA,A,37058856,defaultgeo,North America,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Central Luzon,15.30714,120.79762,PH,A,10137737,defaultgeo,Luzon,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Kasaï-Occidental,-5.33333,21.58333,CD,A,4545940,defaultgeo,Western Kasai,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Malingao,7.16083,124.475,PH,P,1121974,defaultgeo,South Cotabato,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Davao City,7.07306,125.61278,PH,P,1776949,defaultgeo,Davao Del Sur,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Budta,7.20417,124.43972,PH,P,1273715,defaultgeo,Mindanao,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
India,22,79,IN,A,1352617328,defaultgeo,Asia,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Tỉnh Bình Phước,11.75,106.91667,VN,A,823600,defaultgeo,Binh Phuoc,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Metairie,29.98409,-90.15285,US,P,138481,defaultgeo,Jefferson Parish,Katrina_survivor_searchers_prepare_for_the_worst
Saint Bernard,29.87399,-89.82422,US,A,43764,defaultgeo,Saint Bernard Parish,Katrina_survivor_searchers_prepare_for_the_worst
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Kenya_confirms_first_swine_flu_case
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,Kenya_confirms_first_swine_flu_case
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,Libya_frees_foreign_HIV_medics
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad
Northern Darfur,16,25.5,SD,A,1583179,defaultgeo,Darfur,M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad
Plateau-Central,12.58774,-1.30102,BF,A,696372,defaultgeo,Central Plateau,Nearly_200_dead_in_Haitian_cholera_outbreak
Jammu and Kashmir,33.5329,75.40781,IN,A,12258433,defaultgeo,Kashmir,New_Zealand_journalists_fall_ill_on_testing_water_filter
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,New_avian_flu_outbreaks_reported_in_western_Europe
India,22,79,IN,A,1352617328,defaultgeo,Asia,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Østfold county,59.2752,11.1058,NO,A,258542,defaultgeo,Østfold,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,"OIE:_China,_Indonesia_and_Africa_%22under-reporting%22_human_and_animal_Bird_Flu_cases"
East Java,-7.7394,112.5099,ID,A,22200177,defaultgeo,Java,"OIE:_China,_Indonesia_and_Africa_%22under-reporting%22_human_and_animal_Bird_Flu_cases"
Rift Valley Province,0.5,36,KE,A,6987036,defaultgeo,Rift Valley,"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert"
North Korea,40,127,KP,A,25549819,defaultgeo,North Eastern,"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert"
Guinea,10.83333,-10.66667,GN,A,12414318,defaultgeo,Western,"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert"
Bunyala Location,0.41667,34.66667,KE,A,0,defaultgeo,Bunyala,"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert"
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund"
India,22,79,IN,A,1352617328,defaultgeo,Asia,Papua_New_Guinea_at_risk_of_AIDS_epidemic
Province of Pangasinan,15.91667,120.33333,PH,A,3163190,defaultgeo,Pangasinan,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabanatuan City,15.48586,120.96648,PH,P,327325,defaultgeo,Cabanatuan,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Province of Nueva Ecija,15.58333,121,PH,A,2310134,defaultgeo,Nueva Ecija,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Zaire,-6.58717,13.51966,AO,A,567225,defaultgeo,Zaïre,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabo Verde,16,-24,CV,A,543767,defaultgeo,Cape Verde,Polio_vaccination_campaign_targets_85_million_African_children
The Gambia,13.5,-15.5,GM,A,2280102,defaultgeo,Gambia,Polio_vaccination_campaign_targets_85_million_African_children
Salinas,16.3695,121.0188,PH,P,2506,defaultgeo,Salinas Valley,Recent_American_E._coli_outbreak_linked_to_cattle
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
Oman,21,57,OM,A,4829483,defaultgeo,Middle East,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Study_estimates_first_human_HIV_infection_100_years_ago
Kinshasa,-4.32758,15.31357,CD,P,7785965,defaultgeo,Léopoldville,Study_estimates_first_human_HIV_infection_100_years_ago
Al Jazīrah,14.6,33.35,SD,A,2796330,defaultgeo,Al Jazirah,Sudan_reports_first_bird_flu_case
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,Sudan_reports_first_bird_flu_case
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Sudan_reports_first_bird_flu_case
India,22,79,IN,A,1352617328,defaultgeo,Asia,Sudan_reports_first_bird_flu_case
Oman,21,57,OM,A,4829483,defaultgeo,Middle East,Sudan_reports_first_bird_flu_case
New York,40.71427,-74.00597,US,P,8804190,defaultgeo,New York City,Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide
Lake City,42.01422,-80.34534,US,P,2965,defaultgeo,Lake Erie,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Bloomington,39.16533,-86.52639,US,P,84067,defaultgeo,Monroe County,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Canada,60.10867,-113.64258,CA,A,37058856,defaultgeo,North America,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
India,22,79,IN,A,1352617328,defaultgeo,Asia,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
São Paulo,-23.5475,-46.63611,BR,P,10021295,defaultgeo,Sao Paulo,"Swine_flu,_in-depth:_worldwide_report"
Rift Valley Province,0.5,36,KE,A,6987036,defaultgeo,Rift Valley,"Swine_flu,_in-depth:_worldwide_report"
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,"Swine_flu,_in-depth:_worldwide_report"
Peru,-10,-75.25,PE,A,31989256,defaultgeo,South America,Swine_flu_deaths_reported_in_Argentina
Mozambique,-18.25,35,MZ,A,29495962,defaultgeo,East Africa,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
Canada,60.10867,-113.64258,CA,A,37058856,defaultgeo,North America,Swine_flu_worldwide:_update
New York,40.71427,-74.00597,US,P,8804190,defaultgeo,New York City,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
Luzhu,22.85,120.26667,TW,A,0,defaultgeo,Lujhu,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
Peru,-10,-75.25,PE,A,31989256,defaultgeo,South America,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
India,22,79,IN,A,1352617328,defaultgeo,Asia,"Tsunami_deaths_mount_to_more_than_120,000"
Doğubayazıt İlçesi,39.55601,44.08912,TR,A,119614,defaultgeo,Dogubayazit,Turkish_government_accused_of_being_too_slow_to_respond_to_bird_flu
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,Turkish_teenager_dies_from_bird_flu
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,Turkish_teenager_dies_from_bird_flu
Amedi,37.09335,43.48829,IQ,A,0,defaultgeo,Adhamiyah,Two_children_killed_after_eating_poisonous_cake_in_Iraq
Bas-Congo,-5.33333,14.33333,CD,A,3802736,defaultgeo,Bas Congo Province,UNHCR:_Thousands_of_Angolans_expelled_from_DRC_in_%22dire%22_need_of_aid
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,UN_appeals_for_US$42_million_to_assist_victims_of_Kenya_violence
New York,40.71427,-74.00597,US,P,8804190,defaultgeo,New York City,US_declares_public_health_emergency_over_spread_of_swine_flu
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,WHO:_Polio_reemerging_in_Africa
Kasaï-Occidental,-5.33333,21.58333,CD,A,4545940,defaultgeo,Kasai Occidental,WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo
Kars,40.41667,43.08333,TR,A,300874,defaultgeo,Eastern Mediterranean,WHO_starts_simultaneous_immunization_campaigns_in_over_100_countries
Oman,21,57,OM,A,4829483,defaultgeo,Middle East,WHO_starts_simultaneous_immunization_campaigns_in_over_100_countries
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,West Africa,WHO_starts_simultaneous_immunization_campaigns_in_over_100_countries
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,West Africa,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
Ivory Coast,8,-5.5,CI,A,25069229,defaultgeo,Cote d'Ivoire,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Central Africa,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
Atlanta,33.749,-84.38798,US,P,463878,defaultgeo,Fulton County,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus
India,22,79,IN,A,1352617328,defaultgeo,Asia,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus
Mashonaland East Province,-17.96667,31.66667,ZW,A,1167065,defaultgeo,Mashonaland East,"With_arrival_of_rainy_season,_perennial_scramble_in_Zimbabwe_for_seed,_fertilizer"
Santa Clara,37.35411,-121.95524,US,P,126215,defaultgeo,Santa Clara County,Woman_finds_human_finger_in_bowl_of_chili_at_Wendy%27s_restaurant
India,22,79,IN,A,1352617328,defaultgeo,Asia,World_Bank_warns_of_high_bird_flu_cost
Myanmar,21,96,MM,A,53708395,defaultgeo,Burma,World_Bank_warns_of_high_bird_flu_cost
China,35,105,CN,A,1411778724,defaultgeo,People's Republic of China,World_Health_Organisation:_China_engaging_in_bird_flu_cover_up
India,22,79,IN,A,1352617328,defaultgeo,Asia,World_Health_Organisation:_China_engaging_in_bird_flu_cover_up
Oskarshamn,57.26455,16.44837,SE,P,18287,fuzzySWHighMatch1,oskarshamn,%22Aggressive%22_Bird_Flu_found_in_Sweden
Sweden,62.0,15.0,SE,A,10183175,fuzzySWHighMatch1,sweden,%22Aggressive%22_Bird_Flu_found_in_Sweden
Uppsala,60.0,17.75,SE,A,341977,fuzzySWHighMatch1,uppsala,%22Aggressive%22_Bird_Flu_found_in_Sweden
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,%22Aggressive%22_Bird_Flu_found_in_Sweden
Pennsylvania,40.8,-77.7,US,A,12440621,fuzzySWHighMatch1,pennsylvania,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Maryland,39.00039,-76.74997,US,A,5624246,fuzzySWHighMatch1,maryland,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Kabanjahe,3.1001,98.4908,ID,P,57159,fuzzySWHighMatch1,kabanjahe,%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster
Atlanta,33.749,-84.38798,US,P,463878,fuzzySWHighMatch1,atlanta,%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster
Georgia,32.75042,-83.50018,US,A,8975842,fuzzySWHighMatch1,georgia,%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster
Port-au-Prince,18.54349,-72.33881,HT,P,1234742,fuzzySWHighMatch1,port-au-prince,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
Dominican Republic,19.0,-70.66667,DO,A,10627165,fuzzySWHighMatch1,dominican republic,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
Jamaica,18.16667,-77.25,JM,A,2934855,fuzzySWHighMatch1,jamaica,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
Haiti,19.07582,-72.29616,HT,A,11123176,fuzzySWHighMatch1,haiti,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,"150,000_street_vendors_in_India_shown_how_to_avoid_causing_%27Delhi_belly%27"
Delhi,28.6667,77.1,IN,A,16787941,fuzzySWHighMatch1,delhi,"150,000_street_vendors_in_India_shown_how_to_avoid_causing_%27Delhi_belly%27"
Calcutta,40.6734,-80.57646,US,P,3742,fuzzySWHighMatch1,calcutta,"150,000_street_vendors_in_India_shown_how_to_avoid_causing_%27Delhi_belly%27"
Nigeria,10.0,8.0,NG,A,195874740,fuzzySWHighMatch1,nigeria,163_dead_after_lead_poisoning_in_Nigeria
Réunion,-21.10044,55.60206,RE,A,794107,fuzzySWHighMatch1,réunion,"186,000_cases_of_chikungunya_in_R%C3%A9union"
Seychelles,-4.58333,55.66667,SC,A,96762,fuzzySWHighMatch1,seychelles,"186,000_cases_of_chikungunya_in_R%C3%A9union"
Mayotte,-12.83333,45.16667,YT,A,279471,fuzzySWHighMatch1,mayotte,"186,000_cases_of_chikungunya_in_R%C3%A9union"
Arkansas,34.75037,-92.50044,US,A,2757631,fuzzySWHighMatch1,arkansas,2014_flu_season_in_USA
Colorado,39.00027,-105.50083,US,A,4678630,fuzzySWHighMatch1,colorado,2014_flu_season_in_USA
Delaware,39.00039,-75.49992,US,A,838549,fuzzySWHighMatch1,delaware,2014_flu_season_in_USA
Idaho,44.5002,-114.25118,US,A,1416564,fuzzySWHighMatch1,idaho,2014_flu_season_in_USA
Maine,45.50032,-69.24977,US,A,1325518,fuzzySWHighMatch1,maine,2014_flu_season_in_USA
Montana,47.00025,-109.75102,US,A,930698,fuzzySWHighMatch1,montana,2014_flu_season_in_USA
New Hampshire,43.66702,-71.4998,US,A,1316216,fuzzySWHighMatch1,new hampshire,2014_flu_season_in_USA
North Carolina,35.50069,-80.00032,US,A,10488084,fuzzySWHighMatch1,north carolina,2014_flu_season_in_USA
Rhode Island,41.75038,-71.49978,US,A,1050292,fuzzySWHighMatch1,rhode island,2014_flu_season_in_USA
Vermont,44.00034,-72.74983,US,A,624501,fuzzySWHighMatch1,vermont,2014_flu_season_in_USA
Virginia,37.54812,-77.44675,US,A,7642884,fuzzySWHighMatch1,virginia,2014_flu_season_in_USA
West Virginia,38.50038,-80.50009,US,A,1817871,fuzzySWHighMatch1,west virginia,2014_flu_season_in_USA
Alabama,32.75041,-86.75026,US,A,4530315,fuzzySWHighMatch1,alabama,2014_flu_season_in_USA
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,2014_flu_season_in_USA
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,72_hour_Australia_wide_ban_on_horse_movements
Sydney,-33.86785,151.20732,AU,P,4627345,fuzzySWHighMatch1,sydney,72_hour_Australia_wide_ban_on_horse_movements
New South Wales,-33.0,146.0,AU,A,8046100,fuzzySWHighMatch1,new south wales,72_hour_Australia_wide_ban_on_horse_movements
Victoria,-37.0,145.0,AU,A,6526400,fuzzySWHighMatch1,victoria,72_hour_Australia_wide_ban_on_horse_movements
New Zealand,-42.0,174.0,NZ,A,4885500,fuzzySWHighMatch1,new zealand,72_hour_Australia_wide_ban_on_horse_movements
New South Wales,-33.0,146.0,AU,A,8046100,resolvedByAliace,NSW,72_hour_Australia_wide_ban_on_horse_movements
Kenya,1.0,38.0,KE,A,51393010,fuzzySWHighMatch1,kenya,"750,000_could_be_affected_by_flooding_in_Kenya,_UN_says"
Alberta,52.28333,-117.469,CA,A,3497881,fuzzySWHighMatch1,alberta,8th_case_of_mad_cow_disease_found_in_Canada
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,8th_case_of_mad_cow_disease_found_in_Canada
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,8th_case_of_mad_cow_disease_found_in_Canada
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Buffalo,42.88645,-78.87837,US,P,258071,fuzzySWHighMatch1,buffalo,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
